name,birthday,age
Paul Byron,4/27/89,30
Phillip Danault,2/24/93,27
Max Domi,3/2/95,25
Jonathan Drouin,3/28/95,24
Jake Evans,6/2/96,23
Nick Suzuki,8/10/99,20
Jordan Weal,4/15/92,27
Charles Hudon,6/23/94,25
Artturi Lehkonen,7/4/95,24
Tomas Tatar,12/1/90,29
Joel Armia,5/31/93,26
Brendan Gallagher,5/6/92,27
Dale Weise,8/5/88,31
Karl Alzner,9/24/88,31
Ben Chiaro,5/9/91,28
Christian Folin,2/9/91,29
Brett Kulak,1/6/94,26
Victor Mete,6/7/98,21
Xavier Ouellet,7/29/93,26
Jeff Petry,12/9/87,32
Shea Webe,8/14/85,34
Charlie Lindgren,12/18/93,26
Carey Price,8/16/87,32
Frederik Gauthier,4/26/95,24
Zach Hyman,6/9/92,27
Alexander Kerfoot,8/11/94,25
Denis Malgin,1/18/97,23
Mitch Marner,5/5/97,22
Auston Matthews,9/17/97,22
Jason Spezza,6/13/83,36
John Tavares,9/20/90,29
Kyle Clifford,1/13/91,29
Pierre Engvall,5/31/96,23
Andreas Johnsson,11/21/94,25
Kasperi Kapanen,7/23/96,23
Ilya Mikheyev,10/10/94,25
William Nylander,5/1/96,23
Tyson Barrie,7/26/91,28
Cody Ceci,12/21/93,26
Travis Dermott,12/22/96,23
Justin Hol,1/30/92,28
Martin Marincin,2/18/92,28
Jake Muzzi,2/21/89,31
Morgan Rielly,3/9/94,26
Calle Rosen,2/2/94,26
Rasmus Sandin,3/7/00,20
Frederik Andersen,10/2/89,30
Jack Campbell,1/9/92,28
